genus,family
Kaestlea,Scincidae
Kaieteurosaurus,Gymnophthalmidae
Kanakysaurus,Scincidae
Karnsophis,Homalopsidae
Karusasaurus,Cordylidae
Kentropyx,Teiidae
Kinyongia,Chamaeleonidae
Kolekanos,Gekkonidae
Kolpophis,Hydrophiidae
Kualatahan,Homalopsidae
Lacerta,Lacertidae
Lacertaspis,Scincidae
Lacertoides,Scincidae
Lachesis,Viperidae
Laemanctus,Corytophanidae
Lamprolepis,Scincidae
Lampropeltis,Colubridae
Lamprophis,Lamprophiidae
Lampropholis,Scincidae
Langaha,Pseudoxyrhophiidae
Lankascincus,Scincidae
Lanthanotus,Lanthanotidae
Larutia,Scincidae
Latastia,Lacertidae
Laticauda,Elapidae
Laudakia,Agamidae
Leiocephalus,Leiocephalidae
Leioheterodon,Pseudoxyrhophiidae
Leiolepis,Agamidae
Leiolopisma,Scincidae
Leiopython,Pythonidae
Leiosaurus,Leiosauridae
Lemuriatyphlops,Typhlopidae
Lepidoblepharis,Sphaerodactylidae
Lepidodactylus,Gekkonidae
Lepidophyma,Xantusiidae
Lepidothyris,Scincidae
Leposoma,Gymnophthalmidae
Leptodeira,Colubridae
Leptodrymus,Colubridae
Leptophis,Colubridae
Leptoseps,Scincidae
Leptosiaphos,Scincidae
Leptotyphlops,Leptotyphlopidae
Lepturophis,Colubridae
Lerista,Scincidae
Letheobia,Typhlopidae
Lialis,Pygopodidae
Liasis,Pythonidae
Liburnascincus,Scincidae
Lichanura,Boidae
Limnophis,Colubridae
Lioheterophis,Colubridae
Liolaemus,Liolaemidae
Liopeltis,Colubridae
Liophidium,Pseudoxyrhophiidae
Liopholidophis,Pseudoxyrhophiidae
Liopholis,Scincidae
Lioscincus,Scincidae
Liotyphlops,Anomalepididae
Lipinia,Scincidae
Lissolepis,Scincidae
Lobulia,Scincidae
Lophocalotes,Agamidae
Lophognathus,Agamidae
Loveridgea,Amphisbaenidae
Loveridgelaps,Elapidae
Loxocemus,Loxocemidae
Lucasium,Diplodactylidae
Luperosaurus,Gekkonidae
Lycodon,Colubridae
Lycodonomorphus,Lamprophiidae
Lycodryas,Pseudoxyrhophiidae
Lycognathophis,Colubridae
Lycophidion,Lamprophiidae
Lygisaurus,Scincidae
Lygodactylus,Gekkonidae
Lygophis,Colubridae
Lygosoma,Scincidae
Lyriocephalus,Agamidae
Lytorhynchus,Colubridae
Mabuya,Scincidae
Macrelaps,Atractaspididae
Macrocalamus,Colubridae
Macropholidus,Gymnophthalmidae
Macropisthodon,Colubridae
Macroprotodon,Colubridae
Macrovipera,Viperidae
Madagascarophis,Pseudoxyrhophiidae
Madascincus,Scincidae
Madatyphlops,Typhlopidae
Magliophis,Colubridae
Malayopython,Pythonidae
Malayotyphlops,Typhlopidae
Malpolon,Psammophiidae
Manciola,Scincidae
Manolepis,Colubridae
Mantheyus,Agamidae
Maracaiba,Scincidae
Marinussaurus,Gymnophthalmidae
Marisora,Scincidae
Marmorosphax,Scincidae
Mastigodryas,Colubridae
Matoatoa,Gekkonidae
Matobosaurus,Gerrhosauridae
Mediodactylus,Gekkonidae
Medopheos,Teiidae
Meizodon,Colubridae
Melanophidium,Uropeltidae
Melanoseps,Scincidae
Menetia,Scincidae
Meroles,Lacertidae
Mesalina,Lacertidae
Mesaspis,Anguidae
Mesobaena,Amphisbaenidae
Mesoscincus,Scincidae
Micrablepharus,Gymnophthalmidae
Micrelaps,Atractaspididae
Microgecko,Gekkonidae
Microlophus,Tropiduridae
Micropechis,Elapidae
Micropisthodon,Pseudoxyrhophiidae
Micruroides,Elapidae
Micrurus,Elapidae
Mimophis,Psammophiidae
Mintonophis,Homalopsidae
Miralia,Homalopsidae
Mitophis,Leptotyphlopidae
Mixcoatlus,Viperidae
Mniarogekko,Diplodactylidae
Mochlus,Scincidae
Mokopirirakau,Diplodactylidae
Moloch,Agamidae
Monopeltis,Amphisbaenidae
Montaspis,Lamprophiidae
Montatheris,Viperidae
Montivipera,Viperidae
Morelia,Pythonidae
Morethia,Scincidae
Morunasaurus,Hoplocercidae
Mussurana,Colubridae
Myersophis,Cyclocoridae
Myriopholis,Leptotyphlopidae
Myron,Homalopsidae
Myrrophis,Homalopsidae
Nactus,Gekkonidae
Nadzikambia,Chamaeleonidae
Naja,Elapidae
Namazonurus,Cordylidae
Namibiana,Leptotyphlopidae
Nangura,Scincidae
Nannoscincus,Scincidae
Narudasia,Gekkonidae
Natriciteres,Colubridae
Natrix,Colubridae
Naultinus,Diplodactylidae
Nebulifera,Diplodactylidae
Nephrurus,Carphodactylidae
Nerodia,Colubridae
Nessia,Scincidae
Neusticurus,Gymnophthalmidae
Ninia,Colubridae
Ninurta,Cordylidae
Niveoscincus,Scincidae
Notechis,Elapidae
Nothobachia,Gymnophthalmidae
Nothopsis,Colubridae
Notomabuya,Scincidae
Notoscincus,Scincidae
Nucras,Lacertidae
Oedodera,Diplodactylidae
Oedura,Diplodactylidae
Ogmodon,Elapidae
Oligodon,Colubridae
Oligosoma,Scincidae
Omanosaura,Lacertidae
Omoadiphas,Colubridae
Oocatochus,Colubridae
Opheodrys,Colubridae
Ophidiocephalus,Pygopodidae
Ophiodes,Diploglossidae
Ophiomorus,Scincidae
Ophiophagus,Elapidae
Ophioscincus,Scincidae
Ophisaurus,Anguidae
Ophisops,Lacertidae
Ophryacus,Viperidae
Opisthotropis,Colubridae
Oplurus,Opluridae
Oreocalamus,Colubridae
Oreocryptophis,Colubridae
Orientocoluber,Colubridae
Oriocalotes,Agamidae
Orosaura,Scincidae
Orraya,Carphodactylidae
Orthriophis,Colubridae
Otocryptis,Agamidae
Otosaurus,Scincidae
Ouroborus,Cordylidae
Ovophis,Viperidae
Oxybelis,Colubridae
Oxyrhabdium,Cyclocoridae
Oxyrhopus,Colubridae
Oxyuranus,Elapidae
Pachycalamus,Trogonophidae
Pachydactylus,Gekkonidae
Palleon,Chamaeleonidae
Pamelaescincus,Scincidae
Panaspis,Scincidae
Paniegekko,Diplodactylidae
Panopa,Scincidae
Pantepuisaurus,Gymnophthalmidae
Pantherophis,Colubridae
Papuascincus,Scincidae
Paracontias,Scincidae
Paradelma,Pygopodidae
Parafimbrios,Xenodermidae
Paragehyra,Gekkonidae
Parahelicops,Colubridae
Parahydrophis,Elapidae
Paralaudakia,Agamidae
Paraphimophis,Colubridae
Parapistocalamus,Elapidae
Pararhabdophis,Colubridae
Pararhadinaea,Pseudoxyrhophiidae
Parastenophis,Pseudoxyrhophiidae
Parasuta,Elapidae
Paratapinophis,Colubridae
Pareas,Pareidae
Paroedura,Gekkonidae
Paroplocephalus,Elapidae
Parvilacerta,Lacertidae
Parvoscincus,Scincidae
Pedioplanis,Lacertidae
Perochirus,Gekkonidae
Petracola,Gymnophthalmidae
Petrosaurus,Phrynosomatidae
Phalotris,Colubridae
Phelsuma,Gekkonidae
Philochortus,Lacertidae
Philodryas,Colubridae
Philothamnus,Colubridae
Phimophis,Colubridae
Phisalixella,Pseudoxyrhophiidae
Phoboscincus,Scincidae
Phoenicolacerta,Lacertidae
Pholidobolus,Gymnophthalmidae
Phoxophrys,Agamidae
Phrynocephalus,Agamidae
Phrynosoma,Phrynosomatidae
Phyllodactylus,Phyllodactylidae
Phyllopezus,Phyllodactylidae
Phyllorhynchus,Colubridae
Phyllurus,Carphodactylidae
Phymaturus,Liolaemidae
Physignathus,Agamidae
Phytolopsis,Homalopsidae
Pinoyscincus,Scincidae
Pituophis,Colubridae
Placosoma,Gymnophthalmidae
Plagiopholis,Colubridae
Platyceps,Colubridae
Platyplectrurus,Uropeltidae
Platysaurus,Cordylidae
Plectrurus,Uropeltidae
Plesiodipsas,Colubridae
Plestiodon,Scincidae
Pletholax,Pygopodidae
Plica,Tropiduridae
Pliocercus,Colubridae
Podarcis,Lacertidae
Poecilopholis,Atractaspididae
Pogona,Agamidae
Polemon,Atractaspididae
Polychrus,Polychrotidae
Poromera,Lacertidae
Porthidium,Viperidae
Potamites,Gymnophthalmidae
Prasinohaema,Scincidae
Pristidactylus,Leiosauridae
Pristurus,Sphaerodactylidae
Proablepharus,Scincidae
Proatheris,Viperidae
Procellosaurinus,Gymnophthalmidae
Proctoporus,Gymnophthalmidae
Proscelotes,Scincidae
Prosymna,Prosymnidae
Protobothrops,Viperidae
Psammodromus,Lacertidae
Psammodynastes,Pseudaspididae
Psammophilus,Agamidae
Psammophis,Psammophiidae
Psammophylax,Psammophiidae
Pseudalsophis,Colubridae
Pseudaspis,Pseudaspididae
Pseudechis,Elapidae
Pseudelaphe,Colubridae
Pseudemoia,Scincidae
Pseuderemias,Lacertidae
Pseudoacontias,Scincidae
Pseudoboa,Colubridae
Pseudoboodon,Lamprophiidae
Pseudocalotes,Agamidae
Pseudoceramodactylus,Gekkonidae
Pseudocerastes,Viperidae
Pseudocophotis,Agamidae
Pseudocordylus,Cordylidae
Pseudoeryx,Colubridae
Pseudoferania,Homalopsidae
Pseudoficimia,Colubridae
Pseudogekko,Gekkonidae
Pseudogonatodes,Sphaerodactylidae
Pseudohaje,Elapidae
Pseudoleptodeira,Colubridae
Pseudonaja,Elapidae
Pseudopus,Anguidae
Pseudorabdion,Colubridae
Pseudothecadactylus,Diplodactylidae
Pseudotomodon,Colubridae
Pseudotrapelus,Agamidae
Pseudotyphlops,Uropeltidae
Pseudoxenodon,Colubridae
Pseudoxyrhopus,Pseudoxyrhophiidae
Pseustes,Colubridae
Psilophthalmus,Gymnophthalmidae
Psomophis,Colubridae
Psychosaura,Scincidae
Ptenopus,Gekkonidae
Ptyas,Colubridae
Ptychoglossus,Alopoglossidae
Ptychophis,Colubridae
Ptychozoon,Gekkonidae
Ptyctolaemus,Agamidae
Ptyodactylus,Phyllodactylidae
Pygmaeascincus,Scincidae
Pygomeles,Scincidae
Pygopus,Pygopodidae
Python,Pythonidae
Pythonodipsas,Pseudaspididae
Quedenfeldtia,Sphaerodactylidae
Rabdion,Colubridae
Raclitia,Homalopsidae
Ramigekko,Gekkonidae
Ramphotyphlops,Typhlopidae
Rankinia,Agamidae
Regina,Colubridae
Rena,Leptotyphlopidae
Rhabdophis,Colubridae
Rhabdops,Colubridae
Rhachidelus,Colubridae
Rhachisaurus,Gymnophthalmidae
Rhacodactylus,Diplodactylidae
Rhadinaea,Colubridae
Rhadinella,Colubridae
Rhadinophanes,Colubridae
